,chemical_formula_descriptive
403,AlGeLi2Pt2Sc2
404,AlGe2In2PdYb3
405,AlHf2InLi2Pd2
406,AlHf2InLi2Pt2
407,AlHgInMg3Tm3
408,AlHgInSe2Te2
409,AlHgInSe2Te2
410,AlHgInSe2Te2
411,AlHgInSe2Te2
412,AlHgInSe3Te
413,AlHgInSe3Te
414,AlHgMg3TlTm3
415,AlInIr2Li2Mg2
416,AlInIr2Li2Nb2
417,AlInLi2Mg2Pd2
418,AlInLi2Mg2Pt2
419,AlInLi2Nb2Rh2
420,AlInLi2Pd2Sc2
421,AlInLi2Pd2Ti2
422,AlInLi2Pd2Zr2
423,AlInLi2Pt2Sc2
424,AlInLi2Pt2Ti2
425,AlInLi2Pt2Zr2
426,AlInSeTe3Zn
427,AlInSeTe3Zn
428,AlInSe2Te2Zn
429,AlInSe2Te2Zn
430,AlInSe2Te2Zn
431,AlInSe2Te2Zn
432,AlInSe3TeZn
433,AlInSe3TeZn
434,AlIn2PdPt2Zr3
435,AlIrPd2Sn2Y3
436,AlIrPt2Sn2Y3
437,AlIrRhSn3Tm3
438,AlIr2Li2Mg2Sn
439,AlIr2Mn2SiTi2
440,AlIr2NiZn2Zr3
441,AlLi2Mg2Pd2Si
442,AlLi2Mg2Pd2Sn
443,AlLi2Mg2Pd2Zn
444,AlLi2Mg2Pt2Sn
445,AlLi2Mg2Pt2Zn
446,AlLi2Nb2Os2Si
447,AlLi2Nb2Os2Sn
448,AlLi2Ni2Pt2Si
449,AlLi2Os2SiTa2
450,AlLi2Os2SnTa2
451,AlLi2PbPd2Sc2
452,AlLi2Pd2Pt2Zn
453,AlLi2Pd2Sc2Si
454,AlLi2Pd2Sc2Sn
455,AlLi2Pt2Sc2Si
456,AlLi2Pt2Sc2Sn
457,AlMn2Os2SiV2
458,AlNi2Pt2Ti2Zn
459,AlPdPt2Zn2Zr3
460,AlPdRhSn3Tm3
461,AlPtRhSn3Tm3
462,Al12Dy5Fe4Mg5Si6
463,Al12Fe4Gd5Mg5Si6
464,Al12Fe4Mg5Si6Y5
465,Al2AuCuLi2Mg2
466,Al2AuCuLi2Sc2
467,Al2AuCu2LiSc2
468,Al2AuCu2PtSc2
469,Al2AuIrLi2Mg2
470,Al2AuLi2Mg2Pd
471,Al2AuLi2Mg2Pt
472,Al2AuLi2PdSc2
473,Al2AuLi2PtSc2
474,Al2Au2CuEr3Zn
475,Al2Au2CuInTm3
476,Al2Au2CuLiSc2
477,Al2Au2CuSc2Zn
478,Al2Au2CuTm3Zn
479,Al2Au2LiSc2Zn
480,Al2Au2Li2LuSc
481,Al2Au2Li2MgSc
482,Al2Au2Li2MgY
483,Al2Au2Li2ScY
484,Al2BeCoIr2Ti2
485,Al2BeCo2FeTi2
486,Al2BeCo2IrTi2
487,Al2BeCrIr2Ti2
488,Al2BeCuIr2Ti2
489,Al2BeFeIr2Ti2
490,Al2BeIr2MgTi2
491,Al2BeIr2MnTi2
492,Al2BeIr2NiTi2
493,Al2Be2CoIrTi2
494,Al2CaGaInIr
495,Al2CaGaInIr
496,Al2CdDyEr2Mg3
497,Al2CdDyGd2Mg3
498,Al2CdDyHo2Mg3
499,Al2CdDyMg3Tm2
500,Al2CdDyMg3Y2
501,Al2CdDy2ErMg3
502,Al2CdDy2GdMg3
503,Al2CdDy2HoMg3
504,Al2CdDy2Mg3Tm
505,Al2CdDy2Mg3Y
506,Al2CdErGd2Mg3
507,Al2CdErHo2Mg3
508,Al2CdErMg3Tm2
509,Al2CdErMg3Y2
510,Al2CdEr2GdMg3
511,Al2CdEr2HoMg3
512,Al2CdEr2Mg3Tm
513,Al2CdEr2Mg3Y
514,Al2CdGdHo2Mg3
515,Al2CdGdMg3Tm2
516,Al2CdGdMg3Y2
517,Al2CdGd2HoMg3
518,Al2CdGd2Mg3Tm
519,Al2CdGd2Mg3Y
520,Al2CdHoMg3Tm2
521,Al2CdHoMg3Y2
522,Al2CdHo2Mg3Tm
523,Al2CdHo2Mg3Y
524,Al2CdMg3TmY2
525,Al2CdMg3Tm2Y
526,Al2CoCrIr2Ti2
527,Al2CoCuIr2Ti2
528,Al2CoFeHf2Ir2
529,Al2CoFeIr2Ti2
530,Al2CoFe2Hf2Ir
531,Al2CoFe2Hf2Rh
532,Al2CoFe2IrTi2
533,Al2CoFe2PtTi2
534,Al2CoFe2RhTi2
535,Al2CoHfIr2Mn2
536,Al2CoHf2Ir2Mg
537,Al2CoHf2Ir2Mn
538,Al2CoIrLi2Nb2
539,Al2CoIrLi2Ta2
540,Al2CoIr2MgTi2
541,Al2CoIr2MnTi2
542,Al2CoIr2Mn2Ta
543,Al2CoIr2Mn2Ti
544,Al2CoIr2NiTi2
545,Al2CoLi2Nb2Os
546,Al2CoLi2Nb2Rh
547,Al2CoLi2OsTa2
548,Al2CoLi2RhTa2
549,Al2CoMn2NiPt2
550,Al2CoMn2Ni2Pt
551,Al2CoMn2Pt2Ti
552,Al2Co2FeHf2Ir
553,Al2Co2FeIrTi2
554,Al2Co2Fe2HfTi
555,Al2Co2HfIr2Mn
556,Al2Co2HfIr2Ti
557,Al2Co2IrMn2Ni
558,Al2Co2IrMn2Pt
559,Al2Co2Ir2MnTi
560,Al2Co2Li2NbTa
561,Al2Co2Mn2NiPt
562,Al2CrCuIr2Ti2
563,Al2CrFeIr2Ti2
564,Al2CrFe2Mn2W
565,Al2CrIr2MgTi2
566,Al2CrIr2MnTi2
567,Al2CrIr2NiTi2
568,Al2CuFeIr2Ti2
569,Al2CuFePt2Ti2
570,Al2CuHfLi2Pd2
571,Al2CuHfLi2Pt2
572,Al2CuHf2LiPd2
573,Al2CuIrLi2Mg2
574,Al2CuIrNi2Ti2
575,Al2CuIr2MgTi2
576,Al2CuIr2MnTi2
577,Al2CuIr2NiTi2
578,Al2CuLiMg2Pd2
579,Al2CuLiNi2Ti2
580,Al2CuLiNi2Zr2
581,Al2CuLiPd2Ti2
582,Al2CuLiPd2Zr2
583,Al2CuLiPt2Sc2
584,Al2CuLiPt2Ti2
585,Al2CuLi2MgPd2
586,Al2CuLi2MgPt2
587,Al2CuLi2Mg2Pd
588,Al2CuLi2Mg2Pt
589,Al2CuLi2NiPt2
590,Al2CuLi2PdPt2
591,Al2CuLi2PdSc2
592,Al2CuLi2Pd2Pt
593,Al2CuLi2Pd2Sc
594,Al2CuLi2Pd2Ti
595,Al2CuLi2Pd2Zr
596,Al2CuLi2PtSc2
597,Al2CuLi2Pt2Sc
598,Al2CuLi2Pt2Ti
599,Al2CuLi2Pt2Zr
600,Al2CuMgPd2Y3
601,Al2CuMnPt2Ti2
602,Al2CuNiPt2Ti2
603,Al2CuNi2PtTi2
604,Al2Cu2HfLiPd2
605,Al2Cu2HfMgPd2
606,Al2Cu2HfNi2Ti
607,Al2Cu2HfNi2Zr
608,Al2Cu2HfPd2Ti
609,Al2Cu2HfPd2Zr
610,Al2Cu2Hf2NiPd
611,Al2Cu2Ho3InNi
612,Al2Cu2IrNiTi2
613,Al2Cu2IrPdTi2
614,Al2Cu2IrPtTi2
615,Al2Cu2LiMgPd2
616,Al2Cu2LiMg2Pd
617,Al2Cu2LiPd2Ti
618,Al2Cu2LiPd2Zr
619,Al2Cu2LiPtSc2
620,Al2Cu2LiPt2Sc
621,Al2Cu2LiPt2Ti
622,Al2Cu2Li2MgPd
623,Al2Cu2Li2MgPt
624,Al2Cu2Li2MgSc
625,Al2Cu2Li2PdPt
626,Al2Cu2Li2PdSc
627,Al2Cu2Li2PtSc
628,Al2Cu2MgPd2Ti
629,Al2Cu2MgPd2Zr
630,Al2Cu2NiPdTi2
631,Al2Cu2NiPdZr2
632,Al2Cu2NiPtTi2
633,Al2Cu2Ni2TiZr
634,Al2Cu2PdPtTi2
635,Al2Cu2Pd2TiZr
636,Al2Cu2Pt2ScTi
637,Al2Dy3GaGe2Rh
638,Al2Dy3Ge2InRh
639,Al2FeHf2Ir2Mg
640,Al2FeHf2Ir2Mn
641,Al2FeIr2MgTi2
642,Al2FeIr2MgZr2
643,Al2FeIr2MnTi2
644,Al2FeIr2NiTi2
645,Al2FeLiPt2Ti2
646,Al2FeMnPt2Ti2
647,Al2FeMn2OsW2
648,Al2FeNiPt2Ti2
649,Al2Fe2HfIr2Ti
650,Al2Fe2HfIr2Zr
651,Al2Fe2HfRh2Ti
652,Al2Fe2Hf2IrRh
653,Al2Fe2IrPtTi2
654,Al2Fe2IrRhTi2
655,Al2Fe2Ir2TiZr
656,Al2Fe2PtRhTi2
657,Al2GaGd3Ge2Pt
658,Al2GaGe2Ho3Pt
659,Al2GaGe2NiTb3
660,Al2GaGe2PdYb3
661,Al2GaGe2RhSc3
662,Al2GaHf3NiRh2
663,Al2GaInIrSr
664,Al2GaInIrSr
665,Al2GaInRhYb
666,Al2GaInRhYb
667,Al2GaIr2NiTi3
668,Al2GaIr2NiZr3
669,Al2Ge2InPdYb3
670,Al2HfIr2LiMg2
671,Al2HfIr2Mg2Ti
672,Al2HfIr2Mg2Zr
673,Al2HfIr2Mn2Ta
674,Al2HfIr2Mn2Ti
675,Al2HfLi2MgPd2
676,Al2HfLi2MgPt2
677,Al2HfLi2NiPt2
678,Al2HfLi2PdPt2
679,Al2HfLi2Pd2Pt
680,Al2HfLi2Pd2Sc
681,Al2HfLi2Pd2Ti
682,Al2HfLi2Pd2Zr
683,Al2HfLi2Pt2Sc
684,Al2HfLi2Pt2Ti
685,Al2HfLi2Pt2Zr
686,Al2Hf2Ir2MgMn
687,Al2Hf2Li2PdPt
688,Al2InPdPt2Zr3
689,Al2IrLiNi2Ti2
690,Al2IrLi2Mg2Pd
691,Al2IrLi2Mg2Pt
692,Al2IrLi2Nb2Os
693,Al2IrLi2Nb2Rh
694,Al2IrLi2OsTa2
695,Al2IrLi2RhTa2
696,Al2IrMn2PtTi2
697,Al2IrNi2PtTi2
698,Al2IrPdSn2Y3
699,Al2IrPtSn2Y3
700,Al2Ir2LiMg2Ti
701,Al2Ir2LiMg2Zr
702,Al2Ir2LiMnTa2
703,Al2Ir2Li2MgNb
704,Al2Ir2Li2MgTa
705,Al2Ir2Li2MgV
706,Al2Ir2Li2NbTa
707,Al2Ir2Li2NbV
708,Al2Ir2Li2TaV
709,Al2Ir2MgMnTi2
710,Al2Ir2MgNiTi2
711,Al2Ir2Mg2TiZr
712,Al2Ir2MnNiTi2
713,Al2Ir2Mn2TaTi
714,Al2Ir2NiZnZr3
715,Al2LiMgNb2Os2
716,Al2LiMnNi2Pt2
717,Al2LiMnOs2W2
718,Al2LiMnPt2Ti2
719,Al2LiNiPt2Ti2
720,Al2LiNi2PtTi2
721,Al2LiNi2Pt2Ti
722,Al2Li2MgNiPt2
723,Al2Li2MgPdPt2
724,Al2Li2MgPd2Pt
725,Al2Li2MgPd2Sc
726,Al2Li2MgPd2Ti
727,Al2Li2MgPd2Zr
728,Al2Li2MgPt2Sc
729,Al2Li2MgPt2Ti
730,Al2Li2MgPt2Zr
731,Al2Li2Mg2PdPt
732,Al2Li2MoNbOs2
733,Al2Li2MoOs2Ta
734,Al2Li2MoOs2W
735,Al2Li2NbNiRh2
736,Al2Li2NbOs2Ta
737,Al2Li2NbOs2W
738,Al2Li2NbRh2Ta
739,Al2Li2Nb2OsRh
740,Al2Li2NiPdPt2
741,Al2Li2NiPdTi2
742,Al2Li2NiPdZr2
743,Al2Li2NiPtTi2
744,Al2Li2NiPtZr2
745,Al2Li2NiPt2Sc
746,Al2Li2NiPt2Ti
747,Al2Li2NiPt2Zr
748,Al2Li2NiRh2Ta
749,Al2Li2Ni2PtRh
750,Al2Li2Ni2PtTi
751,Al2Li2Ni2PtZr
752,Al2Li2Ni2RhTi
753,Al2Li2Ni2RhZr
754,Al2Li2Ni2TiZr
755,Al2Li2OsRhTa2
756,Al2Li2Os2TaW
757,Al2Li2PdPtSc2
758,Al2Li2PdPtTi2
759,Al2Li2PdPtZr2
760,Al2Li2PdPt2Sc
761,Al2Li2PdPt2Ti
762,Al2Li2PdPt2Zr
763,Al2Li2Pd2PtSc
764,Al2Li2Pd2PtTi
765,Al2Li2Pd2PtZr
766,Al2Li2Pd2ScTi
767,Al2Li2Pd2ScZr
768,Al2Li2Pd2TiZr
769,Al2Li2Pt2ScTi
770,Al2Li2Pt2ScZr
771,Al2Li2Pt2TiZr
772,Al2MnNiPt2Ti2
773,Al2MnNi2Pt2Ti
774,Al2Mn2NiPt2Ti
775,Al2Mn2Os2VW
776,Al2PdPt2ZnZr3
777,Al3AuCoNiZr3
778,Al3AuCuEr3Ge
779,Al3AuCuEr3Si
780,Al3AuCuGeTm3
781,Al3AuCuNiZr3
782,Al3AuCuSiTm3
783,Al3AuHf3NiPd
784,Al3AuHf3NiRh
785,Al3AuIrNiZr3
786,Al3AuNiPdZr3
787,Al3AuNiPtZr3
788,Al3AuNiRhZr3
789,Al3Au2CuErTm2
790,Al3Au2CuEr2Tm
791,Al3Au2HfIrZr2
792,Al3Au2Hf2IrZr
793,Al3CaGe2Ho2Pt
794,Al3CaGe2Mg2Pt
795,Al3CaGe2Nd2Pt
796,Al3CaPdSi2Tb2
797,Al3CaPdSi2Yb2
798,Al3Ca2Ge2HoPt
799,Al3Ca2Ge2MgPt
800,Al3Ca2Ge2NdPt
801,Al3Ca2PdSi2Tb
802,Al3Ca2PdSi2Yb
803,Al3CeCu2Dy2Ni
804,Al3CeCu2Er2Ni
805,Al3CeCu2Gd2Ni
806,Al3CeCu2Hf2Ni
807,Al3CeCu2Ho2Ni
808,Al3CeCu2Nd2Ni
809,Al3CeCu2NiSc2
810,Al3CeCu2NiTm2
811,Al3CeCu2NiY2
812,Al3CeCu2NiZr2
813,Al3Ce2Cu2DyNi
814,Al3Ce2Cu2ErNi
815,Al3Ce2Cu2GdNi
816,Al3Ce2Cu2HfNi
817,Al3Ce2Cu2HoNi
818,Al3Ce2Cu2NdNi
819,Al3Ce2Cu2NiSc
820,Al3Ce2Cu2NiTm
821,Al3Ce2Cu2NiY
822,Al3Ce2Cu2NiZr
823,Al3CoCuHf3Ir
824,Al3CoCuHf3Rh
825,Al3CoCuNiZr3
826,Al3CoIrNiZr3
827,Al3CoNiPdZr3
828,Al3CoNiPtZr3
829,Al3CoNiRhZr3
830,Al3CuDyEr2Ge2
831,Al3CuDyGd2Ge2
832,Al3CuDyGe2Ho2
833,Al3CuDyGe2Lu2
834,Al3CuDyGe2Sc2
835,Al3CuDyGe2Tb2
836,Al3CuDyGe2Tm2
837,Al3CuDyGe2Y2
838,Al3CuDyGe2Yb2
839,Al3CuDy2ErGe2
840,Al3CuDy2GdGe2
841,Al3CuDy2Ge2Ho
842,Al3CuDy2Ge2Lu
843,Al3CuDy2Ge2Sc
